Company_ID,Revenue (USD),Net Profit Margin (%),Investment in R&D (%),Market Share (%),Debt-to-Equity Ratio,Energy Efficiency (%),Smart Grid Implementation Score,Innovation Index,Digitalization Level (%),Carbon Offset (tons/year),Renewable Energy Share (%),Emissions Intensity (kg CO₂ per MWh),Waste Management Score,Employee Satisfaction Score,Community Development Investment (USD),Workforce Diversity Index,Sustainability Certification,Sustainability Score
C1,3751655787.285152,5.553987865158589,5.972407990982213,13.48678958475707,1.758788047022419,69.68177601387211,0.0,41.51071768549326,95.41316415710726,4226.127790803699,49.88510237442743,126.28924881813268,4.02753618747442,1.126978604383252,2123089.972264832,0.1342969643951866,1.0,31.171122492213545
C2,9507635921.035065,16.257028421350743,5.692597182367996,15.953959804108308,2.4357537549699604,73.67178296875107,0.0,,22.32554010693609,2627.159991548211,21.50852287850928,,,0.7231057477279146,5573337.476348213,0.9326299657393596,1.0,27.88752601945132
C3,7322619478.695937,26.18837507629225,18.218837029899696,5.084311185970729,2.304466696391461,92.72736966010902,2.0,43.778147729962,92.23077754835847,3457.5277290679724,,236.7958106468443,6.954071485893057,7.437673473735441,7872695.973363759,0.8945212435499349,,32.128800528559374
C4,5990598257.128396,21.966746592286835,5.741377797140616,12.534994582179277,0.5463097236119436,67.00021930299461,4.0,23.07345902070538,,4416.74850511052,16.970523915524495,107.80821111828136,2.527426687484531,7.118820852292892,3150005.638459675,0.1899965092022845,0.0,19.93795344477659
C5,1568626218.0199409,24.19683443584349,6.167044796443989,11.477745064560596,0.5328234622502743,93.48248424060856,,29.11964549966242,98.5524133255218,2478.585050391377,71.84601783231668,269.628011172425,3.11405645044878,,,0.3434442832940099,,40.86815650275549
C6,1568385258.1586645,19.76350100132152,15.42856698594131,16.673324498086593,,54.406721548834575,8.0,77.22675568375058,55.40583834602108,1566.25370244411,77.0089031254082,575.1431884643002,,,4650739.250608948,0.6134927718519796,1.0,42.7024910346236
C7,590255285.5603126,20.768296935535574,,18.131132503577085,1.147116706389008,88.83992186043153,8.0,7.552708602588687,93.08328641758077,3768.3306895479054,46.23284974592826,,8.646591138898916,0.846761552426899,7483621.309187756,0.0956862073059062,1.0,32.53193851861802
C8,8663099696.291603,25.47586954695958,15.757500582148444,0.3419197523999974,1.2845211860845995,92.37738165273682,2.0,82.75812174807021,0.5348988694222845,,71.40870226850174,456.3024118378328,4.934442792827386,9.037457706089416,2224421.792443009,0.3545678211161508,1.0,
C9,6015138967.314656,7.490040265775578,2.24195699372332,13.512996389269972,2.071121928816701,59.09088264186694,,42.76690858241691,74.82388061809002,1942.6557400302104,73.59353919374455,721.472680475499,5.721468777864002,9.071174191801324,2207046.2349133487,0.2511122868190061,1.0,35.91358101417216
C10,7083645052.182494,14.682748909294215,10.263852679794304,1.1315324024826074,0.2643732532809226,71.51732661861001,4.0,59.60639311005951,90.30506531025154,4328.636185533968,13.82755276778086,585.6305442443527,,6.982329898131301,9472798.00319364,0.9155167287166966,0.0,27.007080128480204
